A,B,C
FCTCS,Cutaneous telangiectasia and cancer syndrome, Autosomal dominant
ZIC1,Craniosynostosis 6, Autosomal dominant
CRS6,Craniosynostosis 6, Autosomal dominant
ETL6,Epilepsy, Autosomal dominant
RNF13,Epileptic encephalopathy, Autosomal dominant
EIEE73,Epileptic encephalopathy, Autosomal dominant
MME,Charcot-Marie-Tooth disease, Autosomal dominant
MME,Spinocerebellar ataxia 43, Autosomal dominant
CD10,Charcot-Marie-Tooth disease, Autosomal dominant
CD10,Spinocerebellar ataxia 43, Autosomal dominant
CALLA,Charcot-Marie-Tooth disease, Autosomal dominant
CALLA,Spinocerebellar ataxia 43, Autosomal dominant
NEP,Charcot-Marie-Tooth disease, Autosomal dominant
NEP,Spinocerebellar ataxia 43, Autosomal dominant
CMT2T,Charcot-Marie-Tooth disease, Autosomal dominant
CMT2T,Spinocerebellar ataxia 43, Autosomal dominant
SCA43,Charcot-Marie-Tooth disease, Autosomal dominant
SCA43,Spinocerebellar ataxia 43, Autosomal dominant
SLC33A1,Spastic paraplegia 42, Autosomal dominant
ACATN,Spastic paraplegia 42, Autosomal dominant
AT1,Spastic paraplegia 42, Autosomal dominant
SPG42,Spastic paraplegia 42, Autosomal dominant
CCHLND,Spastic paraplegia 42, Autosomal dominant
MLF1,Leukemia, Somatic mutation
AGA1,Alopecia, Autosomal dominant
MPB,Alopecia, Autosomal dominant
SERPINI1,Encephalopathy, Autosomal dominant
PI12,Encephalopathy, Autosomal dominant
MECOM,Radioulnar synostosis with amegakaryocytic thrombocytopenia 2, Autosomal dominant
EVI1,Radioulnar synostosis with amegakaryocytic thrombocytopenia 2, Autosomal dominant
RUSAT2,Radioulnar synostosis with amegakaryocytic thrombocytopenia 2, Autosomal dominant
TERC,Aplastic anemia, Autosomal dominant
TERC,Dyskeratosis congenita, Autosomal dominant
TERC,Pulmonary fibrosis, Autosomal dominant
TRC3,Aplastic anemia, Autosomal dominant
TRC3,Dyskeratosis congenita, Autosomal dominant
TRC3,Pulmonary fibrosis, Autosomal dominant
TR,Aplastic anemia, Autosomal dominant
TR,Dyskeratosis congenita, Autosomal dominant
TR,Pulmonary fibrosis, Autosomal dominant
DKCA1,Aplastic anemia, Autosomal dominant
DKCA1,Dyskeratosis congenita, Autosomal dominant
DKCA1,Pulmonary fibrosis, Autosomal dominant
PFBMFT2,Aplastic anemia, Autosomal dominant
PFBMFT2,Dyskeratosis congenita, Autosomal dominant
PFBMFT2,Pulmonary fibrosis, Autosomal dominant
SLC2A2,Diabetes mellitus, Autosomal dominant
GLUT2,Diabetes mellitus, Autosomal dominant
GHSR,Growth hormone deficiency, Autosomal dominant
GHDP,Growth hormone deficiency, Autosomal dominant
TBL1XR1,Pierpont syndrome, Autosomal dominant
TBL1XR1,Mental retardation, Autosomal dominant
TBLR1,Pierpont syndrome, Autosomal dominant
TBLR1,Mental retardation, Autosomal dominant
IRA1,Pierpont syndrome, Autosomal dominant
IRA1,Mental retardation, Autosomal dominant
C21,Pierpont syndrome, Autosomal dominant
C21,Mental retardation, Autosomal dominant
MRD41,Pierpont syndrome, Autosomal dominant
MRD41,Mental retardation, Autosomal dominant
GNB4,Charcot-Marie-Tooth disease, Autosomal dominant
CMTD1F,Charcot-Marie-Tooth disease, Autosomal dominant
SOX2,Microphthalmia, Autosomal dominant
SOX2,Optic nerve hypoplasia and abnormalities of the central nervous system, Autosomal dominant
MCOPS3,Microphthalmia, Autosomal dominant
MCOPS3,Optic nerve hypoplasia and abnormalities of the central nervous system, Autosomal dominant
AOMS1,Abdominal obesity-metabolic syndrome 1, Autosomal dominant
SYNX,Abdominal obesity-metabolic syndrome 1, Autosomal dominant
KLHL24,Epidermolysis bullosa simplex, Autosomal dominant
KRIP6,Epidermolysis bullosa simplex, Autosomal dominant
EBSSH,Epidermolysis bullosa simplex, Autosomal dominant
YEATS2,Epilepsy, Autosomal dominant
KIAA1197,Epilepsy, Autosomal dominant
FAME4,Epilepsy, Autosomal dominant
DVL3,Robinow syndrome, Autosomal dominant
DRS3,Robinow syndrome, Autosomal dominant
AP2M1,Intellectual developmental disorder 60 with seizures, Autosomal dominant
CLAPM1,Intellectual developmental disorder 60 with seizures, Autosomal dominant
MRD60,Intellectual developmental disorder 60 with seizures, Autosomal dominant
EIF4G1,Parkinson disease 18, Autosomal dominant
EIF4G,Parkinson disease 18, Autosomal dominant
PARK18,Parkinson disease 18, Autosomal dominant
CLCN2,Epilepsy, Autosomal dominant
CLCN2,Epilepsy, Autosomal dominant
CLCN2,Epilepsy, Autosomal dominant
CLCN2,Hyperaldosteronism, Autosomal dominant
EGMA,Epilepsy, Autosomal dominant
EGMA,Epilepsy, Autosomal dominant
EGMA,Epilepsy, Autosomal dominant
EGMA,Hyperaldosteronism, Autosomal dominant
ECA2,Epilepsy, Autosomal dominant
ECA2,Epilepsy, Autosomal dominant
ECA2,Epilepsy, Autosomal dominant
ECA2,Hyperaldosteronism, Autosomal dominant
EGI11,Epilepsy, Autosomal dominant
EGI11,Epilepsy, Autosomal dominant
EGI11,Epilepsy, Autosomal dominant
EGI11,Hyperaldosteronism, Autosomal dominant
EJM8,Epilepsy, Autosomal dominant
EJM8,Epilepsy, Autosomal dominant
EJM8,Epilepsy, Autosomal dominant
EJM8,Hyperaldosteronism, Autosomal dominant
LKPAT,Epilepsy, Autosomal dominant
LKPAT,Epilepsy, Autosomal dominant
LKPAT,Epilepsy, Autosomal dominant
LKPAT,Hyperaldosteronism, Autosomal dominant
HALD2,Epilepsy, Autosomal dominant
HALD2,Epilepsy, Autosomal dominant
HALD2,Epilepsy, Autosomal dominant
HALD2,Hyperaldosteronism, Autosomal dominant
THPO,Thrombocythemia 1, Autosomal dominant
MGDF,Thrombocythemia 1, Autosomal dominant
MPLLG,Thrombocythemia 1, Autosomal dominant
TPO,Thrombocythemia 1, Autosomal dominant
THCYT1,Thrombocythemia 1, Autosomal dominant
EHHADH,Fanconi renotubular syndrome 3, Autosomal dominant
PBFE,Fanconi renotubular syndrome 3, Autosomal dominant
LBFP,Fanconi renotubular syndrome 3, Autosomal dominant
FRTS3,Fanconi renotubular syndrome 3, Autosomal dominant
IGF2BP2,Diabetes mellitus, Autosomal dominant
IMP2,Diabetes mellitus, Autosomal dominant
CRYGS,Cataract 20, Autosomal dominant
CRYG8,Cataract 20, Autosomal dominant
CTRCT20,Cataract 20, Autosomal dominant
DNAJB11,Polycystic kidney disease 6 with or without polycystic liver disease, Autosomal dominant
HEDJ,Polycystic kidney disease 6 with or without polycystic liver disease, Autosomal dominant
DJ9,Polycystic kidney disease 6 with or without polycystic liver disease, Autosomal dominant
ABBP2,Polycystic kidney disease 6 with or without polycystic liver disease, Autosomal dominant
PKD6,Polycystic kidney disease 6 with or without polycystic liver disease, Autosomal dominant
HRG,Thrombophilia due to elevated HRG, Autosomal dominant
HRG,Thrombophilia due to HRG deficiency, Autosomal dominant
THPH11,Thrombophilia due to elevated HRG, Autosomal dominant
THPH11,Thrombophilia due to HRG deficiency, Autosomal dominant
LPP,Leukemia, Somatic mutation
TP63,Limb-mammary syndrome, Autosomal dominant
TP63,Split-hand/foot malformation 4, Autosomal dominant
TP63,Hay-Wells syndrome, Autosomal dominant
TP63,Ectrodactyly, Autosomal dominant
TP63,Rapp-Hodgkin syndrome, Autosomal dominant
TP63,ADULT syndrome, Autosomal dominant
TP73L,Limb-mammary syndrome, Autosomal dominant
TP73L,Split-hand/foot malformation 4, Autosomal dominant
TP73L,Hay-Wells syndrome, Autosomal dominant
TP73L,Ectrodactyly, Autosomal dominant
TP73L,Rapp-Hodgkin syndrome, Autosomal dominant
TP73L,ADULT syndrome, Autosomal dominant
KET,Limb-mammary syndrome, Autosomal dominant
KET,Split-hand/foot malformation 4, Autosomal dominant
KET,Hay-Wells syndrome, Autosomal dominant
KET,Ectrodactyly, Autosomal dominant
KET,Rapp-Hodgkin syndrome, Autosomal dominant
KET,ADULT syndrome, Autosomal dominant
EEC3,Limb-mammary syndrome, Autosomal dominant
EEC3,Split-hand/foot malformation 4, Autosomal dominant
EEC3,Hay-Wells syndrome, Autosomal dominant
EEC3,Ectrodactyly, Autosomal dominant
EEC3,Rapp-Hodgkin syndrome, Autosomal dominant
EEC3,ADULT syndrome, Autosomal dominant
SHFM4,Limb-mammary syndrome, Autosomal dominant
SHFM4,Split-hand/foot malformation 4, Autosomal dominant
SHFM4,Hay-Wells syndrome, Autosomal dominant
SHFM4,Ectrodactyly, Autosomal dominant
SHFM4,Rapp-Hodgkin syndrome, Autosomal dominant
SHFM4,ADULT syndrome, Autosomal dominant
LMS,Limb-mammary syndrome, Autosomal dominant
LMS,Split-hand/foot malformation 4, Autosomal dominant
LMS,Hay-Wells syndrome, Autosomal dominant
LMS,Ectrodactyly, Autosomal dominant
LMS,Rapp-Hodgkin syndrome, Autosomal dominant
LMS,ADULT syndrome, Autosomal dominant
RHS,Limb-mammary syndrome, Autosomal dominant
RHS,Split-hand/foot malformation 4, Autosomal dominant
RHS,Hay-Wells syndrome, Autosomal dominant
RHS,Ectrodactyly, Autosomal dominant
RHS,Rapp-Hodgkin syndrome, Autosomal dominant
RHS,ADULT syndrome, Autosomal dominant
OFC8,Limb-mammary syndrome, Autosomal dominant
OFC8,Split-hand/foot malformation 4, Autosomal dominant
OFC8,Hay-Wells syndrome, Autosomal dominant
OFC8,Ectrodactyly, Autosomal dominant
OFC8,Rapp-Hodgkin syndrome, Autosomal dominant
OFC8,ADULT syndrome, Autosomal dominant
CCDC50,Deafness, Autosomal dominant
C3orf6,Deafness, Autosomal dominant
DFNA44,Deafness, Autosomal dominant
FGF12,Epileptic encephalopathy, Autosomal dominant
FHF1,Epileptic encephalopathy, Autosomal dominant
EIEE47,Epileptic encephalopathy, Autosomal dominant
DUP3q29,Chromosome 3q29 microduplication syndrome, Autosomal dominant
MICRODUP3q29,Chromosome 3q29 microduplication syndrome, Autosomal dominant
OPA1,Optic atrophy 1, Autosomal dominant
OPA1,Optic atrophy plus syndrome, Autosomal dominant
NTG,Optic atrophy 1, Autosomal dominant
NTG,Optic atrophy plus syndrome, Autosomal dominant
NPG,Optic atrophy 1, Autosomal dominant
NPG,Optic atrophy plus syndrome, Autosomal dominant
BERHS,Optic atrophy 1, Autosomal dominant
BERHS,Optic atrophy plus syndrome, Autosomal dominant
MTDPS14,Optic atrophy 1, Autosomal dominant
MTDPS14,Optic atrophy plus syndrome, Autosomal dominant
RPL35A,Diamond-Blackfan anemia 5, Autosomal dominant
DBA5,Diamond-Blackfan anemia 5, Autosomal dominant
CRSA,Craniosynostosis, ?Autosomal dominant
CRS3,Craniosynostosis, ?Autosomal dominant
PLSA1,Primary lateral sclerosis, Autosomal dominant
PLSA,Primary lateral sclerosis, Autosomal dominant
SPG38,Spastic paraplegia 38, Autosomal dominant
PDE6B,Night blindness, Autosomal dominant
PDEB,Night blindness, Autosomal dominant
RP40,Night blindness, Autosomal dominant
CSNBAD2,Night blindness, Autosomal dominant
CTBP1,Hypotonia, Autosomal dominant
HADDTS,Hypotonia, Autosomal dominant
FGFR3,Muenke syndrome, Autosomal dominant
FGFR3,Thanatophoric dysplasia, Autosomal dominant
FGFR3,CATSHL syndrome, Autosomal dominant
FGFR3,Crouzon syndrome with acanthosis nigricans, Autosomal dominant
FGFR3,Hypochondroplasia, Autosomal dominant
FGFR3,LADD syndrome, Autosomal dominant
FGFR3,Achondroplasia, Autosomal dominant
FGFR3,Thanatophoric dysplasia, Autosomal dominant
FGFR3,SADDAN, Autosomal dominant
ACH,Muenke syndrome, Autosomal dominant
ACH,Thanatophoric dysplasia, Autosomal dominant
ACH,CATSHL syndrome, Autosomal dominant
ACH,Crouzon syndrome with acanthosis nigricans, Autosomal dominant
ACH,Hypochondroplasia, Autosomal dominant
ACH,LADD syndrome, Autosomal dominant
ACH,Achondroplasia, Autosomal dominant
ACH,Thanatophoric dysplasia, Autosomal dominant
ACH,SADDAN, Autosomal dominant
SH3BP2,Cherubism, Autosomal dominant
CRPM,Cherubism, Autosomal dominant
HTT,Huntington disease, Autosomal dominant
HD,Huntington disease, Autosomal dominant
IT15,Huntington disease, Autosomal dominant
LOMARS,Huntington disease, Autosomal dominant
MSX1,Ectodermal dysplasia 3, Autosomal dominant
MSX1,Tooth agenesis, Autosomal dominant
HOX7,Ectodermal dysplasia 3, Autosomal dominant
HOX7,Tooth agenesis, Autosomal dominant
HYD1,Ectodermal dysplasia 3, Autosomal dominant
HYD1,Tooth agenesis, Autosomal dominant
OFC5,Ectodermal dysplasia 3, Autosomal dominant
OFC5,Tooth agenesis, Autosomal dominant
STHAG1,Ectodermal dysplasia 3, Autosomal dominant
STHAG1,Tooth agenesis, Autosomal dominant
ECTD3,Ectodermal dysplasia 3, Autosomal dominant
ECTD3,Tooth agenesis, Autosomal dominant
EVC2,Weyers acrofacial dysostosis, Autosomal dominant
LBN,Weyers acrofacial dysostosis, Autosomal dominant
WAD,Weyers acrofacial dysostosis, Autosomal dominant
EVC,Weyers acrofacial dysostosis, Autosomal dominant
WFS1,Cataract 41, Autosomal dominant
WFS1,Deafness, Autosomal dominant
WFS1,Diabetes mellitus, Autosomal dominant
WFS1,Wolfram-like syndrome, Autosomal dominant
WFRS,Cataract 41, Autosomal dominant
WFRS,Deafness, Autosomal dominant
WFRS,Diabetes mellitus, Autosomal dominant
WFRS,Wolfram-like syndrome, Autosomal dominant
WFS,Cataract 41, Autosomal dominant
WFS,Deafness, Autosomal dominant
WFS,Diabetes mellitus, Autosomal dominant
WFS,Wolfram-like syndrome, Autosomal dominant
DFNA6,Cataract 41, Autosomal dominant
DFNA6,Deafness, Autosomal dominant
DFNA6,Diabetes mellitus, Autosomal dominant
DFNA6,Wolfram-like syndrome, Autosomal dominant
DFNA14,Cataract 41, Autosomal dominant
DFNA14,Deafness, Autosomal dominant
DFNA14,Diabetes mellitus, Autosomal dominant
DFNA14,Wolfram-like syndrome, Autosomal dominant
DFNA38,Cataract 41, Autosomal dominant
DFNA38,Deafness, Autosomal dominant
DFNA38,Diabetes mellitus, Autosomal dominant
DFNA38,Wolfram-like syndrome, Autosomal dominant
WFSL,Cataract 41, Autosomal dominant
WFSL,Deafness, Autosomal dominant
WFSL,Diabetes mellitus, Autosomal dominant
WFSL,Wolfram-like syndrome, Autosomal dominant
CTRCT41,Cataract 41, Autosomal dominant
CTRCT41,Deafness, Autosomal dominant
CTRCT41,Diabetes mellitus, Autosomal dominant
CTRCT41,Wolfram-like syndrome, Autosomal dominant
SLC2A9,Uric acid concentration, Autosomal dominant
SLC2A9,Hypouricemia, Autosomal dominant
GLUT9,Uric acid concentration, Autosomal dominant
GLUT9,Hypouricemia, Autosomal dominant
UAQTL2,Uric acid concentration, Autosomal dominant
UAQTL2,Hypouricemia, Autosomal dominant
DRD5,Attention deficit-hyperactivity disorder, Autosomal dominant
DRD5,Blepharospasm, Autosomal dominant
DRD1B,Attention deficit-hyperactivity disorder, Autosomal dominant
DRD1B,Blepharospasm, Autosomal dominant
DRD1L2,Attention deficit-hyperactivity disorder, Autosomal dominant
DRD1L2,Blepharospasm, Autosomal dominant
PROM1,Macular dystrophy, Autosomal dominant
PROML1,Macular dystrophy, Autosomal dominant
AC133,Macular dystrophy, Autosomal dominant
RP41,Macular dystrophy, Autosomal dominant
CORD12,Macular dystrophy, Autosomal dominant
CD133,Macular dystrophy, Autosomal dominant
MCDR2,Macular dystrophy, Autosomal dominant
STGD4,Macular dystrophy, Autosomal dominant
RBPJ,Adams-Oliver syndrome 3, Autosomal dominant
RBPSUH,Adams-Oliver syndrome 3, Autosomal dominant
IGKJRB1,Adams-Oliver syndrome 3, Autosomal dominant
AOS3,Adams-Oliver syndrome 3, Autosomal dominant
UCHL1,Parkinson disease 5, Autosomal dominant
PARK5,Parkinson disease 5, Autosomal dominant
SPG79,Parkinson disease 5, Autosomal dominant
NDGOA,Parkinson disease 5, Autosomal dominant
PHOX2B,Central hypoventilation syndrome, Autosomal dominant
NBPHOX,Central hypoventilation syndrome, Autosomal dominant
PMX2B,Central hypoventilation syndrome, Autosomal dominant
NBLST2,Central hypoventilation syndrome, Autosomal dominant
CCHS,Central hypoventilation syndrome, Autosomal dominant
GABRA2,Epileptic encephalopathy, Autosomal dominant
EIEE78,Epileptic encephalopathy, Autosomal dominant
GABRB1,Epileptic encephalopathy, Autosomal dominant
EIEE45,Epileptic encephalopathy, Autosomal dominant
TAPVR1,Total anomalous pulmonary venous return, Autosomal dominant
CHIC2,Leukemia, Somatic mutation
BTL,Leukemia, Somatic mutation
KIT,Gastrointestinal stromal tumor, Isolated cases
KIT,Mastocytosis, Autosomal dominant
KIT,Piebaldism, Autosomal dominant
PBT,Gastrointestinal stromal tumor, Isolated cases
PBT,Mastocytosis, Autosomal dominant
PBT,Piebaldism, Autosomal dominant
MASTC,Gastrointestinal stromal tumor, Isolated cases
MASTC,Mastocytosis, Autosomal dominant
MASTC,Piebaldism, Autosomal dominant
KDR,Hemangioma, Autosomal dominant
SRP72,Bone marrow failure syndrome 1, Autosomal dominant
BMFS1,Bone marrow failure syndrome 1, Autosomal dominant
REST,Fibromatosis, Autosomal dominant
REST,Deafness, Autosomal dominant
NRSF,Fibromatosis, Autosomal dominant
NRSF,Deafness, Autosomal dominant
WT6,Fibromatosis, Autosomal dominant
WT6,Deafness, Autosomal dominant
GINGF5,Fibromatosis, Autosomal dominant
GINGF5,Deafness, Autosomal dominant
HGF5,Fibromatosis, Autosomal dominant
HGF5,Deafness, Autosomal dominant
DFNA27,Fibromatosis, Autosomal dominant
DFNA27,Deafness, Autosomal dominant
ETL3,Epilepsy, Autosomal dominant
FMTLE,Epilepsy, Autosomal dominant
MUC7,Asthma, Autosomal dominant
AMTN,Amelogenesis imperfecta, Autosomal dominant
AI3B,Amelogenesis imperfecta, Autosomal dominant
ENAM,Amelogenesis imperfecta, Autosomal dominant
AIH2,Amelogenesis imperfecta, Autosomal dominant
AI1C,Amelogenesis imperfecta, Autosomal dominant
AFP,[Hereditary persistence of alpha-fetoprotein], Autosomal dominant
HPAFP,[Hereditary persistence of alpha-fetoprotein], Autosomal dominant
AFPD,[Hereditary persistence of alpha-fetoprotein], Autosomal dominant
PFM3,Parietal foramina 3, Autosomal dominant
HNRNPDL,Muscular dystrophy, Autosomal dominant
HNRPDL,Muscular dystrophy, Autosomal dominant
JKTBP,Muscular dystrophy, Autosomal dominant
LGMDD3,Muscular dystrophy, Autosomal dominant
COQ2,Multiple system atrophy, Autosomal dominant
COQ10D1,Multiple system atrophy, Autosomal dominant
MSA1,Multiple system atrophy, Autosomal dominant
WDFY3,Microcephaly 18, Autosomal dominant
ALFY,Microcephaly 18, Autosomal dominant
BCHS,Microcephaly 18, Autosomal dominant
MCPH18,Microcephaly 18, Autosomal dominant
DSPP,Dentin dysplasia, Autosomal dominant
DSPP,Deafness, Autosomal dominant
DSPP,Dentinogenesis imperfecta, Autosomal dominant
DSPP,Dentinogenesis imperfecta, Autosomal dominant
DPP,Dentin dysplasia, Autosomal dominant
DPP,Deafness, Autosomal dominant
DPP,Dentinogenesis imperfecta, Autosomal dominant
DPP,Dentinogenesis imperfecta, Autosomal dominant
DGI1,Dentin dysplasia, Autosomal dominant
DGI1,Deafness, Autosomal dominant
DGI1,Dentinogenesis imperfecta, Autosomal dominant
DGI1,Dentinogenesis imperfecta, Autosomal dominant
DFNA39,Dentin dysplasia, Autosomal dominant
